"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHDI","NET","AGRWTH","A","1970",5.29948021755323,
"AUS","HHDI","NET","AGRWTH","A","1971",4.21925469498745,
"AUS","HHDI","NET","AGRWTH","A","1972",7.14272547427116,
"AUS","HHDI","NET","AGRWTH","A","1973",8.10420883244575,
"AUS","HHDI","NET","AGRWTH","A","1974",4.27721788535183,
"AUS","HHDI","NET","AGRWTH","A","1975",0.981509166964076,
"AUS","HHDI","NET","AGRWTH","A","1976",3.2233735831415,
"AUS","HHDI","NET","AGRWTH","A","1977",1.03074484133193,
"AUS","HHDI","NET","AGRWTH","A","1978",3.29320688305372,
"AUS","HHDI","NET","AGRWTH","A","1979",0.648908092279647,
"AUS","HHDI","NET","AGRWTH","A","1980",3.61182451396728,
"AUS","HHDI","NET","AGRWTH","A","1981",4.63737976824816,
"AUS","HHDI","NET","AGRWTH","A","1982",-0.330436650076784,
"AUS","HHDI","NET","AGRWTH","A","1983",3.68092445747656,
"AUS","HHDI","NET","AGRWTH","A","1984",2.34950901771367,
"AUS","HHDI","NET","AGRWTH","A","1985",3.11506252041358,
"AUS","HHDI","NET","AGRWTH","A","1986",-0.54580611978809,
"AUS","HHDI","NET","AGRWTH","A","1987",1.98060981259085,
"AUS","HHDI","NET","AGRWTH","A","1988",5.14987700706114,
"AUS","HHDI","NET","AGRWTH","A","1989",4.14886799589754,
"AUS","HHDI","NET","AGRWTH","A","1990",0.720042671024893,
"AUS","HHDI","NET","AGRWTH","A","1991",0.683235172796527,
"AUS","HHDI","NET","AGRWTH","A","1992",1.92375020541626,
"AUS","HHDI","NET","AGRWTH","A","1993",1.84593967771362,
"AUS","HHDI","NET","AGRWTH","A","1994",3.78462604349938,
"AUS","HHDI","NET","AGRWTH","A","1995",3.71997430368416,
"AUS","HHDI","NET","AGRWTH","A","1996",3.98387227960809,
"AUS","HHDI","NET","AGRWTH","A","1997",2.51665940926195,
"AUS","HHDI","NET","AGRWTH","A","1998",4.02429001594258,
"AUS","HHDI","NET","AGRWTH","A","1999",3.84031691216636,
"AUS","HHDI","NET","AGRWTH","A","2000",3.76928870450151,
"AUS","HHDI","NET","AGRWTH","A","2001",4.36419007325594,
"AUS","HHDI","NET","AGRWTH","A","2002",0.021883328641634,
"AUS","HHDI","NET","AGRWTH","A","2003",6.05634511715852,
"AUS","HHDI","NET","AGRWTH","A","2004",5.52674192756179,
"AUS","HHDI","NET","AGRWTH","A","2005",2.35179415313566,
"AUS","HHDI","NET","AGRWTH","A","2006",5.16757075374391,
"AUS","HHDI","NET","AGRWTH","A","2007",6.34669270962732,
"AUS","HHDI","NET","AGRWTH","A","2008",7.24280217058378,
"AUS","HHDI","NET","AGRWTH","A","2009",1.0470918662807,
"AUS","HHDI","NET","AGRWTH","A","2010",5.550195711545,
"AUS","HHDI","NET","AGRWTH","A","2011",3.03301359080079,
"AUS","HHDI","NET","AGRWTH","A","2012",0.33909677935368,
"AUS","HHDI","NET","AGRWTH","A","2013",2.63433233384838,
"AUS","HHDI","NET","AGRWTH","A","2014",2.61954637008361,
"AUS","HHDI","NET","AGRWTH","A","2015",1.32937164096689,
"AUS","HHDI","NET","AGRWTH","A","2016",1.99562303137116,
"AUS","HHDI","NET","AGRWTH","A","2017",1.77297461539567,
"AUS","HHDI","NET","AGRWTH","A","2018",1.42391216257767,
"AUT","HHDI","NET","AGRWTH","A","1996",-0.000626115042225,
"AUT","HHDI","NET","AGRWTH","A","1997",-0.274877916436518,
"AUT","HHDI","NET","AGRWTH","A","1998",2.95986610399403,
"AUT","HHDI","NET","AGRWTH","A","1999",3.88790681812035,
"AUT","HHDI","NET","AGRWTH","A","2000",1.52317022455655,
"AUT","HHDI","NET","AGRWTH","A","2001",-0.437761164461025,
"AUT","HHDI","NET","AGRWTH","A","2002",1.36770122514372,
"AUT","HHDI","NET","AGRWTH","A","2003",1.93804438751982,
"AUT","HHDI","NET","AGRWTH","A","2004",1.7551845672114,
"AUT","HHDI","NET","AGRWTH","A","2005",3.82893992578122,
"AUT","HHDI","NET","AGRWTH","A","2006",2.82196738310819,
"AUT","HHDI","NET","AGRWTH","A","2007",2.37730710277948,
"AUT","HHDI","NET","AGRWTH","A","2008",1.24543970176002,
"AUT","HHDI","NET","AGRWTH","A","2009",-0.034710498002572,
"AUT","HHDI","NET","AGRWTH","A","2010",-0.686110083473303,
"AUT","HHDI","NET","AGRWTH","A","2011",-0.33493560891265,
"AUT","HHDI","NET","AGRWTH","A","2012",1.39447992770547,
"AUT","HHDI","NET","AGRWTH","A","2013",-1.38437562269924,
